NEA_GrantNumber,NEA_FiscalYear,NEA_Office,NEA_Grantee,NEA_GranteeWebsite,NEA_GranteeAddressLine1,NEA_GranteeAddressLine2,NEA_GranteeCity,NEA_GranteeState,NEA_GranteeZipcode,NEA_GranteeLatitude,NEA_GranteeLongitude
11-3200-7024,2011,Theater,"Alabama Shakespeare Festival, Inc. (aka: ASF)",www.asf.net,1 Festival Drive,,Montgomery,AL,36117-4605,32.352606,-86.208672
11-4400-7032,2011,Museum,Chinati Foundation (aka: La Fundacion Chinati),www.chinati.org,PO Box 1135,1 Cavalry Row,Marfa,TX,79843-0000,30.000436,-104.239149
11-3300-7043,2011,Dance,"Cunningham Dance Foundation, Inc. (aka: Merce Cunningham Dance Company)",www.merce.org,55 Bethune Street,,New York,NY,10014-1791,40.736951,-74.008416
11-3100-7056,2011,Music,Musical Arts Association (aka: The Cleveland Orchestra),www.clevelandorchestra.com,11001 Euclid Avenue,,Cleveland,OH,44106-1796,41.506081,-81.609004
11-3200-7025,2011,Theater,Bloomsburg Theatre Ensemble Inc.,www.bte.org,226 Center Street,,Bloomsburg,PA,17815-1752,41.002773,-76.456169
11-3300-7044,2011,Dance,AXIS Dance Company,www.axisdance.org,1428 Alice Street,Suite 200,Oakland,CA,94612-4067,37.802915,-122.266116
11-3200-7026,2011,Theater,"National New Play Network, Ltd. (aka: NNPN)",www.nnpn.org,c/o Woolly Mammoth Theatre Com,"641 D Street, NW",Washington,DC,20004-2904,38.896064,-77.026558
11-3100-7057,2011,Music,Detroit Symphony Orchestra Hall (aka: DSO),www.detroitsymphony.com,3711 Woodward Avenue,,Detroit,MI,48201-2005,42.348672,-83.058759
11-5500-7024,2011,Folk & Traditional Arts,Arts Center of Cannon County,www.artscenterofcc.com,PO Box 111/1424 John Bragg Hwy,,Woodbury,TN,37190-0111,35.819862,-86.057
11-3100-7058,2011,Music,Los Angeles Master Chorale Association (aka: Los Angeles Master Chorale),www.lamc.org,135 North Grand Avenue,,Los Angeles,CA,90012-3013,34.056318,-118.248252
11-3300-7045,2011,Dance,Pittsburgh Trust for Cultural Resources (aka: The Pittsburgh Cultural Trust),www.pgharts.org,803 Liberty Avenue,,Pittsburgh,PA,15222-3703,40.442727,-79.99885
11-3300-7046,2011,Dance,"Ballet Austin, Incorporated (aka: Ballet Austin)",www.balletaustin.org,501 West 3rd Street,,Austin,TX,78701-3807,30.266571,-97.748519
